book	chapter	verse	figure	english_snippet	note	source
10-2samuel	17	11	merism	from Dan to Beersheba	This phrase means from the northern border of Israel to the southern border. Alternate translation: “from the whole nation of Israel”	door43_utn
10-2samuel	20	20	doublet	swallow up or destroy	Both of these phrases means to destroy. In the first phrase “destroying” is spoken of as if it were “swallowing.” These may be combined. Alternate translation: “ruin or destroy the city” or “destroy”	door43_utn
10-2samuel	22	8	merism	earth shook … heavens trembled	David speaks of the two extremes to include everything in creation.	door43_utn
10-2samuel	24	2	merism	Dan to Beersheba	This phrase uses two place names Dan, in the far north, and Beersheba, in the far south, to represent the entire country.	door43_utn
10-2samuel	24	15	merism	from Dan to Beersheba	Here mentioning the city of Dan in the extreme north and the city Beersheba in the extreme south means the entire nation of Israel.	door43_utn
11-1kings	1	1	doublet	old and advanced in years	“very old.” The two phrases are similar in meaning and are combined for emphasis.	door43_utn
11-1kings	2	32	doublet	more righteous and better	These words mean basically the same thing and emphasize that Abner and Amasa were much better men than Joab.	door43_utn
11-1kings	4	25	merism	from Dan to Beersheba	This represents the whole land of Israel from Dan in the north to Beersheba in the south.	door43_utn
11-1kings	5	4	merism	There is neither adversary nor disaster	neither humans who cause harm nor natural events that cause harm. This can be stated positively. Alternate translation: “We are safe from our enemies and from natural disasters”	door43_utn
11-1kings	8	28	doublet	respect this prayer of your servant and his request	The words “prayer” and “request” mean basically the same thing and emphasize that he is sincere as he makes his request. Solomon refers to himself as “your servant” to show that he respects Yahweh. This can be stated in first person. Alternate translation: “respect me, your servant, as I make this request”	door43_utn
11-1kings	8	28	doublet	listen to the cry and prayer that your servant prays before you today	The words “cry” and “prayer” mean basically the same thing and emphasize that he is sincere as he asks Yahweh to help him. Solomon refers to himself as “your servant” to show that he respects Yahweh. This can be stated in first person. Alternate translation: “listen to me, your servant, as I call today for you to help me”	door43_utn
11-1kings	8	29	doublet	My name and my presence	These two words together emphasize that Yahweh will dwell in the temple.	door43_utn
11-1kings	8	29	merism	night and day	This is a merism. Alternate translation: “all the time” or “continually”	door43_utn
11-1kings	8	38	doublet	prayers and requests	The words “prayer” and “request” mean basically the same thing and emphasize that the person is sincere as he makes his request. See how you translated similar words in [1 Kings 8:28](../08/28.md). Alternate translation: “requests”	door43_utn
11-1kings	8	45	doublet	their prayer and their request	The words “prayer” and “request” mean basically the same thing and emphasize that the people are sincere as they make their request. See how you translated similar words in [1 Kings 8:28](../08/28.md). Alternate translation: “their request”	door43_utn
11-1kings	8	47	doublet	acted perversely and sinned	The words mean basically the same thing and emphasize how badly the people sinned.	door43_utn
11-1kings	8	49	doublet	their prayer and their request	The two words “prayer” and “request” mean basically the same thing. Together they emphasize that the people were sincere as they made their request to Yahweh. See how you translated similar words in [1 Kings 8:28](../08/28.md).	door43_utn
11-1kings	8	54	doublet	prayer and request	The words “prayer” and “request” mean basically the same thing and emphasize that he is sincere as he makes his request. See how you translated similar words in [1 Kings 8:28](../08/28.md). Alternate translation: “request”	door43_utn
11-1kings	8	57	doublet	leave us or forsake us	These two phrases mean basically the same thing and emphasize Solomon’s desire for Yahweh to be present with the people.	door43_utn
11-1kings	8	59	merism	day and night	This merism refers to “all the time” or “continually.”	door43_utn
11-1kings	8	66	doublet	joyful and glad	The two words mean basically the same thing and are combined for emphasis.	door43_utn
11-1kings	9	3	doublet	your prayer and your request	The words “prayer” and “request” mean basically the same thing and emphasize that Yahweh recognized that Solomon’s request was sincere. See how you translated similar words in [1 Kings 8:28](../08/28.md). Alternate translation: “your request”	door43_utn
11-1kings	9	4	doublet	in integrity of heart and in uprightness	These two phrases mean basically the same thing and emphasize how righteous David was.	door43_utn
11-1kings	9	6	doublet	my commandments and my statutes	Here the words “commandments” and “statutes” mean basically the same thing and emphasize all that Yahweh has commanded.	door43_utn
11-1kings	10	6	hendiadys	your words and your wisdom	Here the word “wisdom” can describe the word “words.” Alternate translation: “your wise sayings”	door43_utn
11-1kings	12	24	doublet	your brothers the people of Israel	The words “brothers” and “people of Israel” are a doublet that refer to the men of the ten northern tribes and emphasize the family relationship between them and the tribes of Judah and Benjamin.	door43_utn
11-1kings	13	34	doublet	to be destroyed and to be exterminated	These mean nearly the same thing. Alternate translation: “to be completely destroyed”	door43_utn
11-1kings	20	22	doublet	understand and plan	These two words mean basically the same thing and are combined for emphasis. Alternate translation: “determine”	door43_utn
11-1kings	21	15	doublet	Naboth is not alive, but dead.	These two phrases mean the same thing and emphasize Jezebel’s statement. Alternate translation: “Naboth is dead!”	door43_utn
11-1kings	22	31	merism	Do not attack unimportant or important soldiers	By mentioning both “unimportant” and “important soldiers,” the king meant all soldiers. Alternate translation: “Do not attack any of the soldiers”	door43_utn
11-1kings	22	53	doublet	He served Baal and worshiped him	The words “served” and “worshiped” mean basically the same thing.	door43_utn
12-2kings	11	8	merism	You must stay with the king when he goes out, and when he comes in	These two opposite things are a merism that refers to everything the king does. Alternate translation: “You must stay near the king at all times”	door43_utn
12-2kings	19	16	doublet	Turn your ear, Yahweh, and listen	The words “Turn your ear” and “listen” mean the same thing and add emphasis to the plea. Alternate translation: “Yahweh, please listen to what he is saying”	door43_utn
12-2kings	19	16	doublet	Open your eyes, Yahweh, and see	The words “Open your eyes” and “see” mean the same thing and add emphasis to the plea. Alternate translation: “Yahweh, please pay attention to what is happening”	door43_utn
12-2kings	23	2	merism	from small to great	This merism includes everyone in between. Alternate translation: “from the least important to the most important”	door43_utn
12-2kings	23	3	doublet	his commandments, his regulations, and his statutes	These words all share similar meanings. Together they emphasize everything that Yahweh had commanded in the law.	door43_utn
12-2kings	25	26	merism	from the least to the greatest	This is a merism that means “everyone,” which is a generalization. Alternate translation: “from the least important to the most important” or “everyone”	door43_utn
13-1chronicles	9	33	merism	day and night	This means “at all times” and can be translated using a phrase or word from your language or culture that gives the same meaning.	door43_utn
13-1chronicles	11	17	doublet	the well at Bethlehem, the well that is by the gate	These two phrases refer to the same well. The second specifies which well in Bethlehem.	door43_utn
13-1chronicles	11	18	doublet	the well of Bethlehem, the well at the gate	These two phrases refer to the same well. The second specifies which well in Bethlehem. See how you translated a similar phrase in [1 Chronicles 11:17](../11/17.md).	door43_utn
13-1chronicles	12	18	doublet	Peace, may peace be to whoever helps you	Here the word “peace” refers to prosperity and well-being. The word is repeated to emphasize great prosperity. Alternate translation: “May whoever helps you greatly prosper”	door43_utn
13-1chronicles	16	36	merism	from everlasting to everlasting	This refers to two extremes and means for all time. Alternate translation: “for all eternity”	door43_utn
13-1chronicles	17	5	doublet	a tent, a tabernacle	Both the words “tent” and “tabernacle” describe the same thing and emphasize that he had lived in a place that was not a permanent building.	door43_utn
13-1chronicles	21	2	merism	from Beersheba to Dan	The Israelites considered these two cities their most southern and most northern cities. David uses these cities to refer to all of Israel.	door43_utn
13-1chronicles	25	8	merism	all alike, the same for the young as well as the old, the teacher as well as the student	This refers to all of the men by describing the extremes. Alternate translation: “all of them, including the young men and the old men, the teachers and the students”	door43_utn
13-1chronicles	26	13	merism	both young and old	This refers to all of the men by describing the extremes. See how you translated a similar phrase in [1 Chronicles 25:8](../25/08.md). Alternate translation: “all of them, including the young men and the old men” or “men of all ages”	door43_utn
13-1chronicles	28	1	doublet	property and possessions	These two words share similar meanings and refer to all of the items and lands that the king owned.	door43_utn
13-1chronicles	28	2	doublet	my brothers and my people	These two phrases share similar meanings and emphasize that David and the people of Israel are family.	door43_utn
13-1chronicles	28	7	doublet	my commandments and decrees	These two words basically mean the same thing and refer to everything that Yahweh had commanded.	door43_utn
13-1chronicles	28	8	doublet	keep and try to carry out	The phrase “to carry out” means basically the same thing as “keep.” Together the words emphasize importance of doing what God commands. Alternate translation: “carefully obey”	door43_utn
13-1chronicles	28	20	doublet	strong and brave	These two words basically mean the same thing and emphasize that Solomon must be courageous.	door43_utn
13-1chronicles	28	20	doublet	Do not be afraid or anxious	The words “afraid” and “anxious” basically mean the same thing and emphasize that Solomon must never give up. Also, this can be written in positive form. Alternate translation: “Be courageous” or “Be confident”	door43_utn
13-1chronicles	29	12	doublet	power and might	The words “power” and “might” mean the same thing and emphasize the greatness of Yahweh’s power.	door43_utn
14-2chronicles	6	19	doublet	respect this prayer of your servant and his request	The words “prayer” and “request” mean basically the same thing and emphasize that he is sincere as he makes his request. Solomon refers to himself as “your servant” to show that he respects Yahweh. This can be stated in first person. Alternate translation: “respect me, your servant, as I make this request”	door43_utn
14-2chronicles	6	19	doublet	listen to the cry and prayer that your servant prays before you	The words “cry” and “prayer” mean basically the same thing and emphasize that he is sincere as he asks Yahweh to help him. Solomon refers to himself as “your servant” to show that he respects Yahweh. This can be stated in first person. Alternate translation: “listen to me, your servant, as I call for you to help me”	door43_utn
14-2chronicles	6	20	merism	day and night	This is a merism. Alternate translation: “all the time” or “continually”	door43_utn
14-2chronicles	6	29	doublet	prayers and requests	The words “prayers” and “requests” mean basically the same thing and emphasize that the person is sincere as he makes his requests.	door43_utn
14-2chronicles	6	32	doublet	your mighty hand, and your outstretched arm	These two phrases mean basically the same thing and refer to God’s power.	door43_utn
14-2chronicles	6	35	doublet	to their prayer, their request	The abstract nouns “prayer” and “request” can be stated as verbs. Alternate translation: “to what they request when they pray to you”	door43_utn
14-2chronicles	6	37	doublet	acted perversely and sinned	The words mean basically the same thing and emphasize how badly the people sinned.	door43_utn
14-2chronicles	6	39	doublet	to their prayer and to their requests	The words “prayer” and “requests” mean basically the same thing and emphasize that the people are sincere as they make their requests. Alternate translation: “their requests”	door43_utn
14-2chronicles	7	10	doublet	with glad and joyful hearts	The words “glad” and “joyful” mean basically the same thing. Together they emphasize the intensity of joy. Alternate translation: “with very glad hearts” or “and they were very joyful”	door43_utn
14-2chronicles	7	19	doublet	my statutes and my commandments	Here the words “commandments” and “statutes” mean basically the same thing and emphasize all that Yahweh has commanded.	door43_utn
14-2chronicles	9	5	hendiadys	your words and your wisdom	Here the word “wisdom” can describe the word “words.” Alternate translation: “your wise words”	door43_utn
14-2chronicles	9	29	merism	first and last	The phrase “first and last” represents the whole time of Solomon’s reign. Alternate translation: “from the beginning to the end of his reign”	door43_utn
14-2chronicles	12	15	merism	first and last	“from beginning to end.” These two words form a merism and refer to everything that Rehoboam did from the beginning of his reign to the end of his reign. Alternate translation: “everything that he did”	door43_utn
14-2chronicles	18	30	merism	Do not attack the unimportant or the important soldiers	By mentioning both “the unimportant” and “the important soldiers,” the king meant all soldiers. Alternate translation: “Do not attack any of the soldiers”	door43_utn
14-2chronicles	19	4	merism	from Beersheba to the hill country of Ephraim	This is a merism that means the whole land over which Jehoshaphat reigned, from the most southern part to the most northern part, and is intended to include the whole land in between. Alternate translation: “of all the land of Judah”	door43_utn
14-2chronicles	20	6	doublet	Power and might are in your hand	The words “Power” and “might” mean basically the same thing and emphasize the greatness of Yahweh’s power. The word “hand” refers to possession. Alternate translation: “You possess great power” or “You have great power and might”	door43_utn
14-2chronicles	20	23	doublet	to completely kill them and destroy them	These two phrases mean basically the same thing. The second intensifies the first. Alternate translation: “to completely annihilate them”	door43_utn
14-2chronicles	20	34	merism	first and last	These two opposites are given to refer to everything concerning Jehoshaphat during his reign as king. Alternate translation: “from the beginning of his reign until he died”	door43_utn
14-2chronicles	24	15	doublet	grew old and was full of days	These two phrases mean the same thing and emphasize how long he lived. Alternate translation: “became very old”	door43_utn
14-2chronicles	25	26	merism	the other matters concerning Amaziah, first and last	Here the phrase “first and last” refers to those extremes and everything in between. Alternate translation: “all the matters concerning Amaziah”	door43_utn
14-2chronicles	26	22	merism	from first to last	This phrase represents the whole time of Uzziah’s reign. Alternate translation: “from the beginning of his reign to the end of his reign”	door43_utn
14-2chronicles	30	6	hendiadys	all Israel and Judah	The tribe of Judah was the largest of the tribes of Israel and was in the southern part of Israel. Here the phrase “Israel and Judah” refers to the people who belonged to the southern tribes of Israel. See how you translated this in [2 Chronicles 30:1](../30/01.md). Alternate translation: “the southern tribes of Israel”	door43_utn
14-2chronicles	31	15	merism	to both the important and the unimportant	Here “important” and “unimportant” are used together to mean “everyone.” Alternate translation: “to everyone, including the important and the unimportant”	door43_utn
14-2chronicles	32	18	doublet	to frighten them and trouble them	These two phrases mean basically the same thing and emphasize the intensity of fear. Alternate translation: “to make them very afraid”	door43_utn
14-2chronicles	33	13	doublet	He prayed to him; and God was begged by him	The second phrase intensifies the first phrase and emphasizes the earnestness of Manasseh’s prayer. If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “He prayed to God and begged him”	door43_utn
14-2chronicles	34	30	merism	from great to small	This merism includes everyone in between. Alternate translation: “from the most important to the least important”	door43_utn
14-2chronicles	34	31	doublet	his commandments, his regulations, and his statutes	These words all share similar meanings. Together they emphasize everything that Yahweh had commanded in the law.	door43_utn
14-2chronicles	35	27	merism	his deeds, from beginning to end,	This refers to all of the significant things that he did from the beginning of his reign as king to the end of his life. Alternate translation: “all of his deeds” or “everything he did from the beginning of his reign to when he died”	door43_utn
14-2chronicles	36	13	doublet	Zedekiah stiffened his neck and hardened his heart against turning to Yahweh	The phrases “stiffened his neck” and “hardened his heart” are both metaphors that mean to become stubborn. Zedekiah refusing to worship Yahweh is spoken of as if he refused to turn to Yahweh. Alternate translation: “Zedekiah stubbornly refused to worship Yahweh”	door43_utn
15-ezra	4	1	hendiadys		Here the book may be expressing a single idea figuratively by using two words connected with **and**. Together the two words may be a way of referring to all of the Israelites, since at this point the community consisted essentially of people from the tribes of Judah and Benjamin. Alternate translation: “the Israelites”	door43_utn
15-ezra	4	12	doublet		**Rebellious and evil** mean similar things. The officials use them together to emphasize their certainty that, because the people of Jerusalem are so evil or wicked (in this context meaning rebellious against authority), they would revolt against Artaxerxes if they were able to rebuild and fortify their city. If your readers would misunderstand this, you could combine these words into a single expression. Alternate translation: “constantly rebelling”	door43_utn
15-ezra	4	13	doublet		**Tax**, **tribute**, and **custom** mean similar things. The officials use the three terms together to emphasize that the king could lose all of his income from the Jews living in Jerusalem and the province of Judah. However, there is a slight difference between the three terms. While their exact meaning is uncertain, they may refer to these three kinds of taxes: taxes based on a percentage of income, tribute money that subjects would pay on a per-person basis, and duty that they would pay on articles purchased for use or transported for sale. Alternate translation: “they will no longer pay taxes, tribute, or duty” But if you do not have three different words for different kinds of taxes in your language, you can just use one word, as in the UST.	door43_utn
15-ezra	4	15	doublet		The words **discover** and **learn** mean similar things. The officials use the two words together to emphasize how certain it is that the chronicles will show that Jerusalem has always been rebellious. If your readers would misunderstand this, you can use only one word instead of two. Alternate translation: “The chronicles will certainly confirm for you”	door43_utn
15-ezra	4	19	doublet		**Rebellion** and **revolt** mean similar things. Artaxerxes uses the two terms together for emphasis, perhaps to acknowledge that the records have indeed confirmed what the officials alleged. If your readers would misunderstand this, you could combine these terms. Alternate translation: “and the city has repeatedly been a base for revolts”	door43_utn
15-ezra	4	20	doublet	Tax, tribute, and custom were paid to them	See how you translated this phrase in [4:13](../04/13.md).	door43_utn
15-ezra	4	23	hendiadys	Shimshai	The phrase **an arm and strength** expresses a single idea by using two words connected with “and.” The word **strength** tells what kind of **arm** or influence these officials used: a strong arm, that is, a forcibly coercive one. If your readers would misunderstand this, you could express the meaning of the two words in a single phrase. Alternate translation: “and they compelled them to stop”	door43_utn
15-ezra	5	11	hendiadys	completed	In this section of the book, **completed** is another way of saying **built** when the two words are used together. (Review the note about this at [4:12](../04/12.md) if that would be helpful.) So the Jewish elders are expressing a single idea by using two words connected with **and**. If your readers would misunderstand this, you could express the meaning with a single word. Alternate translation: “which a great king of Israel constructed”	door43_utn
15-ezra	6	14	hendiadys	Tattenai … Shethar-Bozenai	The phrase **building and prospering** expresses a single idea by using two words connected with **and**. The word **building** tells what the elders prospered or succeeded in. If your readers would misunderstand this, you could express the meaning with a single phrase. Alternate translation: “And the Jewish leaders were rebuilding the temple successfully”	door43_utn
15-ezra	6	14	hendiadys	Tattenai … Shethar-Bozenai	As in [5:11](../05/11.md), the words **built** and **completed** connected with **and** express a single idea. In this section of the book, when the two words are used together, “completed” is another way of saying “built.” (Review the note about this at [4:12](../04/12.md) if that would be helpful.) If your readers would misunderstand this, you could express the meaning with a single word. Alternate translation: “And they were able to construct the temple”	door43_utn
15-ezra	7	10	doublet	and to teach statute and ordinance in Israel	Here, the book expresses a single idea by using two words connected with **and**. The words **statute** and **ordinance** both refer to commandments in the law of Moses. The book uses the two words together to refer comprehensively to everything in the law. Alternate translation: “and to teach the people of Israel everything that the law commanded”	door43_utn
15-ezra	7	11	doublet	This is a copy of the letter	These two phrases mean similar things. The book uses them together to refer comprehensively to everything in the law. If your readers would misunderstand this, you can combine the phrases in your translation. Alternate translation: “everything that Yahweh, in the law, had commanded the people of Israel to do”	door43_utn
15-ezra	7	25	doublet	according to the wisdom of God that is in your hand, appoint judges and magistrates	The terms **magistrates** and **judges** mean very similar things. There are two possibilities here. (1) Artaxerxes could be using these two terms to refer to people in slightly different roles. The first term may refer to officials who decide disputes between people, and the second term may refer to officials who interpret the law and apply it to specific situations. Alternate translation: “appoint officials who can decide disputes between people and officials who can interpret and apply the law” or (2) Artaxerxes may be using the two words together to emphasize the authority that Ezra has to ensure that the Jews in Judah and Jerusalem follow God’s commandments. If you have only one term for these functions, you can just use that one term here. Alternate translation: “appoint judges so that they can judge”	door43_utn
15-ezra	8	22	hendiadys	but his strength and his wrath are against all those who forsake him	This phrase expresses a single idea by using two words connected with **and**. The word **nose**, a figure for anger, tells how God punishes. If your readers would misunderstand this, you could express the meaning with a single phrase. Alternate translation: “he wrathfully punishes”	door43_utn
15-ezra	8	29	hendiadys	until you weigh them out before the heads of the priests and the Levites, and the heads of the fathers’ houses	These two words work together to give one idea. Ezra uses them together to emphasize how carefully the priests and Levites need to guard the silver and gold and objects. Alternate translation: “Guard diligently”	door43_utn
15-ezra	9	2	doublet	have not separated themselves	These terms mean similar things, but it seems that **leaders** may refer to the heads of the clans and that **rulers** may refer to official leaders of government. If your language uses one word for both of those, you can combine them and use that word here. Alternate translation: “our chiefs”	door43_utn
15-ezra	9	6	doublet	I am ashamed and humiliated	**Ashamed** and **humiliated** mean very similar things. Ezra uses them together to emphasize how disgraced he feels by what the Israelites have done. If your readers would misunderstand this, you could combine these terms into a single expression. Alternate translation: “I am deeply disgraced”	door43_utn
15-ezra	9	12	doublet	to give us a wall	The terms **peace** and **good** mean similar things. The prophets use them together to emphasize the importance of this commandment. If your readers would misunderstand this, you could combine these terms into a single expression, as in the UST.	door43_utn
15-ezra	9	14	doublet	Would you not be angry … no remnant or survivor?	In this specific context, the terms **remnant** and **escape** mean the same thing. Ezra uses the terms together for emphasis. If your readers would misunderstand this, you could combine these terms. Alternate translation: “you would not leave any of us alive.”	door43_utn
15-ezra	10	2	hendiadys	Jehiel	Here the book expresses a single idea by using two words connected with **and**. Together the two words mean that Shekaniah responded to the situation that the Jews were facing. Alternate translation: “responded” (See [[rc://en/ta/man/translate/figs-hendiadys]])	door43_utn
15-ezra	10	12	hendiadys	separate yourselves	See how you translated this expression in [10:2](../10/02.md). Alternate translation: “Then … responded” (See [[rc://en/ta/man/translate/figs-hendiadys]])	door43_utn
16-nehemiah	1	3	doublet	in great evil and in reproach	**Difficulty** and **reproach** mean similar things. Hanani uses them together to emphasize what a desperate situation the people are in. You do not need to repeat both words in your translation if that would be confusing for your readers. Alternate translation: “in a perilous situation”	door43_utn
16-nehemiah	1	5	doublet	the great and fearsome God	**Great** and **fearsome** mean similar things. Nehemiah uses them together to emphasize how much respect God deserves. You do not need to repeat both phrases in your translation if that would be confusing for your readers. However, there is a slight difference in meaning, and you could also bring that out in your translation. “Great” refers to how powerful God is objectively. “Fearsome” reflects how people should respond to God’s greatness subjectively. They should “fear” God. This does not mean that they should be afraid of him, but that they should show him respect and reverence. Alternate translation: “the great and awesome God” or “the God who deserves total respect”	door43_utn
16-nehemiah	1	6	merism	day and night	When Nehemiah says that he has prayed both during the day and during the night, he means that he has also prayed at all times in between, that is, constantly. However, he does not mean that he has prayed non-stop all day long and all night long, without doing any other activities such as sleeping or eating. Alternate translation: “constantly,” otherwise “during the day and at night”	door43_utn
16-nehemiah	1	7	doublet	the commandments, and the statutes, and the judgments	These three words mean basically the same thing. Nehemiah uses the repetition to emphasize how comprehensively the Israelites have disobeyed what God commanded them through Moses. If your readers would misunderstand this, you could combine them into a single phrase. Alternate translation: “the law of Moses” otherwise “the commands and rules and laws” (Note: A doublet can involve the use of more than two words.)	door43_utn
16-nehemiah	1	10	doublet	by your great power and by your strong hand	These two phrases mean basically the same thing. Nehemiah uses the repetition to emphasize the intensity of Yahweh’s power. Alternate translation: “by your very great strength”	door43_utn
16-nehemiah	2	10	doublet	And it was evil to them, a great evil	These two short phrases mean almost the same thing. Nehemiah uses them together for emphasis. If your readers would misunderstand this, you could combine them. Alternate translation: “they became very upset” or “they did not like it at all”	door43_utn
16-nehemiah	2	20	doublet	But you have no share, no right, and no historic claim in Jerusalem	The terms **share**, **right**, and **memorial** all mean something similar. Nehemiah uses them together for emphasis. The meanings are not entirely certain. “Share” may suggest that the Samaritans are not part of the community. “Right” may mean that they have no legal basis to say what should happen in Jerusalem. “Memorial” could mean that they had have no role in the city’s history, or that there is no record of their Israelite ancestry. If your readers would misunderstand this, you could combine these terms. Alternate translation: “But you have absolutely nothing to do with what happens in Jerusalem.” (Note: A doublet can involve the use of more than two terms.)	door43_utn
16-nehemiah	4	9	merism	by day and by night	This does not mean that some people went up on the walls to look around at various parts of the day, and others went up at certain times of night. Nehemiah is describing how he maintained a constant guard by speaking of two times when people were on duty, the day and the night, in order to include all the time in between. Alternate translation: “at all times,” otherwise “throughout the day and night”	door43_utn
16-nehemiah	4	14	doublet		Nehemiah uses this same expression in [1:5](../01/05.md). See how you translated it there. Review the note there if that would be helpful. Alternate translation: “great and glorious”	door43_utn
16-nehemiah	4	17	doublet		These two short phrases mean similar things. Nehemiah uses them together for clarity and emphasis. You do not need to repeat both phrases in your translation if that would be confusing for your readers. Alternate translation: “and those who carried the heavy loads”	door43_utn
16-nehemiah	4	19	doublet		**Great** and **vast** mean similar things. Nehemiah uses them together to emphasize the scope of the rebuilding project. You do not need to repeat both phrases in your translation if that would be confusing for your readers. Alternate translation: “large-scale” or “huge”	door43_utn
16-nehemiah	4	21	merism		Nehemiah is referring to the entire day by speaking of two extreme parts of it, the time when first light of morning appears and the time when it becomes dark enough to see the stars, in order to include everything in between. If your readers would misunderstand this, you could express this meaning with a single phrase. Alternate translation: “at all times,” otherwise “from the time when the light of dawn appeared in the morning until the time when the stars appeared at night”	door43_utn
16-nehemiah	5	1	doublet		These two short phrases mean similar things. Nehemiah uses them together to emphasize how inappropriate it was for people to treat members of their own group in the ways described. If your readers would misunderstand this, you could combine these phrases. Alternate translation: “their fellow Jews”	door43_utn
16-nehemiah	5	2	doublet		These two short phrases mean similar things. The people use them together to emphasize the urgency and importance of having food. If your readers would misunderstand this, you could combine these phrases. Alternate translation: “to get enough food to stay alive”	door43_utn
16-nehemiah	5	6	doublet		These two short phrases mean similar things. They are used together to emphasize the urgency and severity of these complaints. You do not need to repeat both phrases in your translation if that would be confusing for your readers. Alternate translation: “everything that they were complaining about”	door43_utn
16-nehemiah	5	8	doublet		These two short phrases mean similar things. They are used together to emphasize that buying them back was an honorable and expected action. You do not need to repeat both phrases in your translation if that would be confusing for your readers. Alternate translation: “our Jewish relatives”	door43_utn
16-nehemiah	5	9	doublet		These two short phrases mean similar things. Nehemiah uses them together to emphasize the identity and hostility of the people who are opposing the Jews. If your readers would misunderstand this, you could combine them. Alternate translation: “our enemies”	door43_utn
16-nehemiah	5	13	doublet		These two short phrases mean similar things. They are used together to express the totality of what a person owns. If your readers would misunderstand this, you could combine them. Alternate translation: “everything he owns”	door43_utn
16-nehemiah	5	13	doublet		These two short phrases mean similar things. They are used together to emphasize how completely Nehemiah wants God to punish anyone who breaks the oath. You do not need to repeat both phrases in your translation if that would be confusing for your readers. Alternate translation: “be separated from everything he owns”	door43_utn
16-nehemiah	5	15	doublet		**Former** and **before my face** mean similar things. If your readers would misunderstand this, you could combine them. Alternate translation: “The men who were governors before me”	door43_utn
16-nehemiah	7	4	doublet		These two short phrases mean similar things. Nehemiah uses them together to emphasize how large Jerusalem was. If your readers would misunderstand this, you can combine them. Alternate translation: “The city of Jerusalem covered a large area”	door43_utn
16-nehemiah	7	6	doublet		**Captivity** and **exile** mean basically the same thing. You do not need to repeat both phrases in your translation if that would be confusing for your readers. Alternate translation: “after being taken away”	door43_utn
16-nehemiah	7	61	doublet		These two short phrases mean similar things. They are used together to emphasize that accurate records would be required to prove a person’s lineage. You do not need to repeat both phrases in your translation if that would be confusing for your readers. Alternate translation: “what their lineage was”	door43_utn
16-nehemiah	8	3	merism		Verse [8:7](../08/07.md) explains that other teachers circulated within the crowd to answer questions that people had about what Ezra was reading. It is unlikely that they did this while he was still talking. Instead, he probably paused from time to time to allow this. So this expression is actually referring to a whole time period by describing its beginning and ending, but it does not mean that the activity took place without interruption the whole time. If your readers would misunderstand this, you could express this meaning with a single phrase. Alternate translation: “throughout the morning”	door43_utn
16-nehemiah	8	8	doublet		These two phrases mean similar things. You do not need to repeat both of them in your translation if that would be confusing for your readers. Alternate translation: “from the Law of Moses”	door43_utn
16-nehemiah	8	9	doublet		These two phrases mean similar things. The leaders were reminding the people that this was one of the festival days that Yahweh had told them to set apart as special times of worship and celebration. If your readers would misunderstand this you could combine these phrases. Alternate translation: “This is a special day for worshiping Yahweh.”	door43_utn
16-nehemiah	8	9	doublet		**Mourn** and **weep** mean the same thing. The leaders use both words together to emphasize that the people should be cheerful, not sad, on a festival day. If your readers would misunderstand this, you could combine these words in a single expression. Alternate translation: “So you should not be crying”	door43_utn
16-nehemiah	8	10	doublet		Eating and drinking are used together here to convey a single idea, celebrating. If your readers would misunderstand this, you could combine them into a single phrase. Alternate translation: “Celebrate with a good meal.”	door43_utn
16-nehemiah	8	10	doublet		These two phrases mean similar things. As in [8:9](../08/09.md), together they mean, “This is a special day for worshiping our Lord.” If your readers would misunderstand this, you could combine these phrases like that.	door43_utn
16-nehemiah	8	12	doublet		Eating and drinking are used together here to convey a single idea, celebrating. If your readers would misunderstand this, you could combine them into a single phrase. Alternate translation: “celebrating with festive meals”	door43_utn
16-nehemiah	8	15	merism		Here the story describes the whole population of the province of Judah by referring to its smaller cities and towns and to its large capital city of Jerusalem. The expression includes everything in between these two extremes. Alternate translation: “to everyone in Judah,” otherwise “both in Jerusalem and in all the towns”	door43_utn
16-nehemiah	8	17	merism		Here the story is describing an entire time period by speaking of its beginning and ending in order to include everything in between. If your readers would misunderstand this, you could express this meaning with a single phrase. Alternate translation: “for the entire time they had lived in this land”	door43_utn
16-nehemiah	8	18	merism		The story is describing the entire festival by speaking of two extreme parts of it, its first day and its last day. If your readers would misunderstand this, you could express this meaning with a single phrase. Alternate translation: “throughout the entire festival”	door43_utn
16-nehemiah	9	5	doublet		In this context, **blessing** and **praise** mean basically the same thing. If your readers would misunderstand this, you could combine these words. Alternate translation: “we can never acknowledge you sufficiently”	door43_utn
16-nehemiah	9	9	merism		Here the Levites are describing how, centuries later, God rescued their ancestors, Abraham’s descendants, from slavery in Egypt. In this verse they describe that entire experience generally by reference to its first episode and its final episode, to include everything in between. (In [9:10](../09/10.md) and [9:11](../09/11.md) they will add further specific details.) If your readers would misunderstand this, you could describe the entire experience in a single phrase here. (However, you could also explain these episodes separately. See the next two notes.) Alternate translation: “You rescued our fathers from slavery in Egypt by defeating Pharaoh”	door43_utn
16-nehemiah	9	10	doublet		**Signs** and **wonders** are words that mean similar things. They both describe powerful things that God did. If your readers would misunderstand this, you could combine these words. Alternate translation: “you did miracles”	door43_utn
